marque, version , annee , kilometrage , energie , emission de CO2 , consommation mixte , transmission , nombre de portes , puissance fiscale,nombre de places , lieu, prix
Volkswagen,Tiguan 2.0 TDI 150 DSG7 4Motion Black R-Line,2019,24 000,Diesel,133,null,Automatique,4,8,5,09400,29 500
Renault,Laguna 1.9 DTI RTE,1999,320 000,Diesel,null,5.5,Manuelle,4,6,5,28400,2 000
Citroën,2 CV 6 Special,1986,96 700,Essence,null,null,Manuelle,4,3,5,31250,12 000
TOYOTA,Edition 1.8 hybrid 122ch,2022,10,Hybride,null,null,Automatique,4,5,null,null,27 470
Volkswagen,Coccinelle Cabriolet 2.0 TDI 150 BMT Club,2015,92 600,Diesel,118,4.6,Manuelle,2,8,4,91830,18 100
Renault,Scenic 1.9 dCi 130 Exception,2008,173 300,Diesel,159,6.0,Manuelle,4,8,5,63200,4 000
BMW,320d 177ch Confort,2008,212 500,Diesel,128,4.8,Manuelle,4,9,5,60126,6 800
Citroën,C3 1.4 HDi 70 Airdream Airplay,2009,115 000,Diesel,115,4.4,Manuelle,4,4,5,93500,3 800
Citroën,C3 Aircross PureTech 110 S&S BVM6 Shine,2021,2 800,Essence,null,null,Manuelle,4,6,5,25600,19 800
Renault,Twingo II 1.5 dCi 65 eco2 Art Collection,2009,209 200,Diesel,113,4.3,Manuelle,2,4,4,42300,2 450
MERCEDES,elegance,2006,72 000,Diesel,null,null,Manuelle,4,null,5,35150,7 900
Audi,TT 1.8T,2000,149 000,Essence,194,8.1,Manuelle,2,11,4,29720,10 500
Fiat,500 1.2 69 ch Lounge,2017,48 500,Essence,115,4.9,Manuelle,2,4,4,22100,9 500
Peugeot,3008 1.6 HDi 16V 110ch FAP Premium Pack,2009,190 500,Diesel,137,5.1,Manuelle,4,6,5,63200,5 500
Opel,Astra 1.7 CDTI - 110 FAP ecoFLEX Cosmo,2011,171 200,Diesel,119,4.5,Manuelle,4,6,5,56500,5 200
Toyota,Land Cruiser 3.0 TD VX,1999,160 000,Diesel,null,11.1,Manuelle,4,10,5,48100,7 000
Fiat,Doblo Panorama 1.6 Multijet 120 ch,2017,61 500,Diesel,144,null,Manuelle,4,7,5,29360,14 500
Renault,Super 5 Five,1995,130 000,Essence,null,null,Manuelle,2,6,5,75012,4 900
Renault,Kadjar TCe 130 Energy Intens,2017,43 800,Essence,130,5.8,Manuelle,4,7,5,29170,14 200
Mercedes,Classe CLA 45 AMG 4Matic Speedshift DCT A,2016,66 000,Essence,171,7.3,Automatique,4,26,5,01800,39 500
Renault,Mégane 1.9 DCI Authentique,2017,40 600,Diesel,139,5.2,Manuelle,4,6,5,59770,14 900
Volkswagen,Polo 1.2 60 Style,2011,136 100,Essence,128,5.5,Manuelle,2,4,5,73660,5 990
Renault,30 TX,1965,72 000,Essence,null,null,Manuelle,4,15,5,62500,9 000
Volkswagen,Golf 1.4i,1999,191 000,Essence,158,6.6,Manuelle,4,5,5,77250,2 250
